"path","line","text"
"C:\Chartly2.0\docs\examples\custom_report.md","5","- status: ðŸ›  roadmap (example playbook)"
"C:\Chartly2.0\docs\examples\custom_report.md","82","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\ml_projection.md","5","- status: ðŸ›  roadmap (example playbook)"
"C:\Chartly2.0\docs\examples\ml_projection.md","56","2. A **projection profile** (inference contract) *(schema may be roadmap)*"
"C:\Chartly2.0\docs\examples\ml_projection.md","97","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\ml_projection.md","128","This example uses a `projection` profile kind. If the profile schema is not available yet, treat this section as ðŸ›  roadmap and do not mark it ."
"C:\Chartly2.0\docs\examples\ml_projection.md","141","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\ml_projection.md","191","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\onboard_new_domain.md","5","- status: ðŸ›  roadmap (example playbook)"
"C:\Chartly2.0\docs\examples\onboard_new_domain.md","93","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\onboard_new_domain.md","142","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\onboard_new_domain.md","180","  labels: {tier: roadmap}"
"C:\Chartly2.0\docs\examples\onboard_new_domain.md","208","  labels: {tier: roadmap}"
"C:\Chartly2.0\infra\docker\docker-compose.dev.yml","68","    # Canonical dev template: placeholder until gateway image/build is finalized."
"C:\Chartly2.0\infra\helm\chartly\Chart.yaml","25","  # Artifact Hub metadata (optional; safe placeholders)"
"C:\Chartly2.0\infra\k8s\secrets.yaml","10","# This file exists only as a deterministic placeholder to document expected keys and namespaces."
"C:\Chartly2.0\infra\k8s\secrets.yaml","16","  name: chartly-placeholder-secrets"
"C:\Chartly2.0\infra\terraform\modules\eks\main.tf","194","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\eks\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\rds\main.tf","294","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\rds\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\redis\main.tf","212","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\redis\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\s3\main.tf","203","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\s3\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\vpc\main.tf","157","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\modules\vpc\outputs.tf","31","# Future-facing placeholders (no provider resources here):"
"C:\Chartly2.0\infra\terraform\outputs.tf","16","  description = ""Region/locale placeholder (provider overlays may interpret this)."""
"C:\Chartly2.0\infra\terraform\variables.tf","24","  description = ""Optional region/locale placeholder for provider overlays (e.g., us-east-1). Use 'local' for provider-neutral defaults."""
"C:\Chartly2.0\MANIFEST.yaml","144","        - ""Connector registry and discovery (roadmap)"""
"C:\Chartly2.0\MANIFEST.yaml","177","      status: ""roadmap"""
"C:\Chartly2.0\MANIFEST.yaml","188","      status: ""roadmap"""
"C:\Chartly2.0\MANIFEST.yaml","197","      status: ""roadmap"""
"C:\Chartly2.0\MANIFEST.yaml","205","      status: ""roadmap"""
"C:\Chartly2.0\MANIFEST.yaml","221","      roadmap: [""ClickHouse/TimescaleDB for high-scale time-series""]"
"C:\Chartly2.0\MANIFEST.yaml","232","    roadmap: [""nats jetstream"", ""kafka""]"
"C:\Chartly2.0\MANIFEST.yaml","263","    status: ""roadmap"""
"C:\Chartly2.0\pkg\profiles\compiler.go","85","// If false (default), env placeholders are errors."
"C:\Chartly2.0\pkg\profiles\compiler.go","86","// If true, placeholders are warnings (caller may later expand safely elsewhere)."
"C:\Chartly2.0\pkg\profiles\compiler.go","87","AllowEnvPlaceholders bool `json:""allow_env_placeholders""`"
"C:\Chartly2.0\pkg\profiles\compiler.go","423","rep.addIssue(CSevWarn, ""pattern.env_placeholder"", """", path, ""env placeholder detected (allowed)"")"
"C:\Chartly2.0\pkg\profiles\compiler.go","425","rep.addIssue(CSevError, ""pattern.env_placeholder"", """", path, ""env placeholder detected (disallowed)"")"
"C:\Chartly2.0\pkg\profiles\validator.go","72","	CheckEnvPlaceholders bool `json:""check_env_placeholders""`"
"C:\Chartly2.0\pkg\profiles\validator.go","286","						Severity: SevWarn, Code: ""pattern.env_placeholder"","
"C:\Chartly2.0\pkg\profiles\validator.go","288","						Message: ""string contains env-style placeholder; expansion is not supported here"","
"C:\Chartly2.0\profiles\core\base\deduplication.yaml","26","    mode: ""at_least_once_with_idempotency""   # at_least_once_with_idempotency|exactly_once (roadmap)"
"C:\Chartly2.0\profiles\core\base\profile.yaml","84","    decimal_handling: ""float64""       # float64|decimal (decimal is roadmap)"
"C:\Chartly2.0\profiles\core\base\retention.yaml","4","  enforcement: ""roadmap""   # roadmap|enabled"
"C:\Chartly2.0\profiles\core\base\retention.yaml","6","    - ""Retention is enforced by orchestrator-managed lifecycle jobs (roadmap)."""
"C:\Chartly2.0\profiles\core\base\retention.yaml","43","      downsampling_roadmap: true"
"C:\Chartly2.0\profiles\core\base\retention.yaml","46","      - ""Downsampling is roadmap for high-volume metrics."""
"C:\Chartly2.0\profiles\core\base\retention.yaml","72","    status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\database.yaml","104","      status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\database.yaml","111","      status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\file_system.yaml","97","  roadmap_modes: [""event_watch""]"
"C:\Chartly2.0\profiles\core\connectors\file_system.yaml","106","    status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\graphql.yaml","83","    status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\http_rest.yaml","39","        - ""Paths may include templated variables resolved by orchestrator (roadmap) but must be explicit."""
"C:\Chartly2.0\profiles\core\connectors\http_rest.yaml","96","    allow_path_templates: false  # roadmap"
"C:\Chartly2.0\profiles\core\connectors\rss.yaml","50","    status: ""roadmap"""
"C:\Chartly2.0\profiles\core\connectors\rss.yaml","55","      - ""Conditional GET state stored in storage metadata (roadmap)."""
"C:\Chartly2.0\profiles\core\connectors\rss.yaml","62","    status: ""roadmap"""
"C:\Chartly2.0\profiles\domains\ecommerce\profile.yaml","37","    - ""Right-to-erasure supported via targeted deletion/redaction workflows (roadmap)."""
"C:\Chartly2.0\profiles\domains\ecommerce\retention.yaml","11","  enforcement: ""roadmap"""
"C:\Chartly2.0\profiles\domains\ecommerce\retention.yaml","36","      downsampling_roadmap: true"
"C:\Chartly2.0\profiles\domains\ecommerce\retention.yaml","52","  status: ""roadmap"""
"C:\Chartly2.0\profiles\domains\finance\compliance_rules.yaml","90","      - ""Backtesting and model evaluation are roadmap requirements for advanced forecasting."""
"C:\Chartly2.0\profiles\domains\finance\retention.yaml","11","  enforcement: ""roadmap"""
"C:\Chartly2.0\profiles\domains\finance\retention.yaml","33","      downsampling_roadmap: true"
"C:\Chartly2.0\profiles\domains\healthcare\retention.yaml","11","  enforcement: ""roadmap"""
"C:\Chartly2.0\profiles\domains\healthcare\retention.yaml","35","      downsampling_roadmap: true"
"C:\Chartly2.0\profiles\README.md","147","Retention should be implemented as lifecycle jobs controlled by orchestrator (roadmap)."
"C:\Chartly2.0\profiles\VERSIONING.md","131","- audit trail for production rollouts (roadmap)"
"C:\Chartly2.0\README.md","3","Chartly 2.0 is a contracts-first data ingestion, normalization, and analytics platform designed to turn heterogeneous inputs into validated canonical records and publish charts, reports, and projections with a complete audit trail. This repository contains the full structure and incremental implementations; remaining work is tracked via roadmap markers and scaffolding notes."
"C:\Chartly2.0\README.md","94","- Authoring flow (roadmap): update profile YAMLs â†’ lint/validate â†’ run normalizer against fixtures â†’ promote to staging/production."
"C:\Chartly2.0\scripts\deploy\deploy.ps1","49","Say ""Step 1: build artifacts (placeholder)"""
"C:\Chartly2.0\scripts\deploy\deploy.ps1","52","Say ""Step 2: push images (placeholder)"""
"C:\Chartly2.0\scripts\deploy\deploy.ps1","55","Say ""Step 3: apply deployment (placeholder)"""
"C:\Chartly2.0\scripts\deploy\README.md","30","- `deploy.ps1`  Orchestrates build/push/apply (placeholders to wire your CI/CD)."
"C:\Chartly2.0\SECURITY.md","63","  - OAuth2 / SAML (roadmap)"
"C:\Chartly2.0\services\analytics\cmd\analytics\main.go","120","	// POST /analyze (placeholder)"
"C:\Chartly2.0\services\analytics\cmd\analytics\main.go","182","	// GET /metrics (placeholder)"
"C:\Chartly2.0\services\analytics\config\analytics.yaml","6","# - Sections marked ""ROADMAP"" are NOT implemented yet and MUST be treated as placeholders."
"C:\Chartly2.0\services\analytics\config\analytics.yaml","46","  # ROADMAP: tenant-level quotas / rate-limits"
"C:\Chartly2.0\services\analytics\config\analytics.yaml","53","  # ROADMAP: metric collectors (histograms, counters) and query APIs"
"C:\Chartly2.0\services\analytics\config\analytics.yaml","58","  # ROADMAP: report definitions and generators"
"C:\Chartly2.0\services\analytics\config\analytics.yaml","63","  # ROADMAP: sinks for analytics artifacts (object store, db, event bus)"
"C:\Chartly2.0\services\analytics\config\analytics.yaml","70","  # ROADMAP: metrics/tracing (OTEL, Prometheus, etc.)"
"C:\Chartly2.0\services\analytics\internal\charts\templates\chart_templates.yaml","14","  updated_at: ""REPLACE_AT_BUILD_TIME"" # placeholder; registry may override when emitting metadata"
"C:\Chartly2.0\services\analytics\internal\charts\templates\chart_templates.yaml","192","      notes: ""Useful for pairwise metric comparison; trendline is ROADMAP (feature unavailable)."""
"C:\Chartly2.0\services\analytics\internal\charts\templates\chart_templates.yaml","222","      notes: ""Bucket strategy is ROADMAP (feature unavailable in analytics service yet)."""
"C:\Chartly2.0\services\analytics\internal\reports\report_engine.go","1106","// Variable flattening for placeholders"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","158","        **Sign-off (template placeholder)**"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","164","        _This is a placeholder section. The report engine only expands placeholders;"
"C:\Chartly2.0\services\analytics\internal\reports\templates\compliance_report.yaml","181","  placeholder_expectations:"
"C:\Chartly2.0\services\analytics\internal\reports\templates\executive_summary.yaml","4","# - This YAML file is a template catalog artifact for ROADMAP loading."
"C:\Chartly2.0\services\analytics\internal\reports\templates\executive_summary.yaml","150","  placeholder_expectations:"
"C:\Chartly2.0\services\analytics\internal\reports\templates\trend_analysis.yaml","171","  placeholder_expectations:"
"C:\Chartly2.0\services\auth\internal\rbac\roles.yaml","23","  updated_at: ""REPLACE_AT_BUILD_TIME"" # placeholder; a registry may override at runtime"
"C:\Chartly2.0\services\connector-hub\cmd\connector-hub\main.go","75","	// POST /ingest/execute (placeholder)"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","25","    capabilities: [""discover"", ""ingest"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","28","        notes: ""CKAN API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","41","    capabilities: [""ingest"", ""sync"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","44","        notes: ""Public API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","57","    capabilities: [""ingest"", ""sync"", ""query_placeholder""]"
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","60","        notes: ""Public API base URL (placeholder)."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","76","        notes: ""DSN placeholder."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","93","        notes: ""S3 URI placeholder."""
"C:\Chartly2.0\services\connector-hub\config\connectors.yaml","111","        notes: ""HTTP path placeholder. Actual routing lives in service code."""
"C:\Chartly2.0\services\connector-hub\internal\connectors\s3.go","40","		// placeholder: assume ambient credentials"
"C:\Chartly2.0\services\gateway\api\router.go","90","	// Query (placeholder)"
"C:\Chartly2.0\services\gateway\api\router.go","93","	// Reports (placeholder)"
"C:\Chartly2.0\services\gateway\config\gateway.yaml","37","    mode: ""jwt""                  # jwt|oauth2 (roadmap)"
"C:\Chartly2.0\services\normalizer\cmd\normalizer\main.go","120","	// POST /normalize (placeholder)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","6","# - Sections marked ""ROADMAP"" are NOT implemented yet and MUST be treated as placeholders."
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","45","  # ROADMAP: gateway-style rate limiting / tenant-level quotas"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","52","  # ROADMAP: declarative transform pipelines (rules + schema mappings)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","65","  # ROADMAP: output sinks for normalized artifacts (object store, db, event bus)"
"C:\Chartly2.0\services\normalizer\config\normalizer.yaml","72","  # ROADMAP: metrics/tracing (OTEL, Prometheus, etc.)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","6","# - Sections marked ""ROADMAP"" are NOT implemented yet and MUST be treated as placeholders."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","10","  # env: local|dev|stage|prod (ROADMAP: file-based config loading)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","47","  # ROADMAP: gateway-style rate limiting / tenant-level quotas"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","54","  # ROADMAP: cron/ticker scheduler to trigger jobs automatically."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","66","  # ROADMAP: Redis-backed queue used to dispatch to connector-hub / workers."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","76","  # ROADMAP: queue keys/streams"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","82","  # ROADMAP: worker pool consuming from queue with bounded concurrency."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","88","  # ROADMAP: job state tracking & retention policy."
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","99","    # ROADMAP: retry/backoff policy (used by consumer + dispatcher)"
"C:\Chartly2.0\services\orchestrator\config\orchestrator.yaml","109","  # ROADMAP: metrics/tracing (OTEL, Prometheus, etc.)"
"C:\Chartly2.0\services\storage\cmd\storage\main.go","334","// IMPORTANT: This is an in-memory store only (no persistence). It is safe for local/dev and placeholder use."
"C:\Chartly2.0\tests\unit\README.md","8","- `typescript/`  TypeScript unit tests (Jest/Vitest/etc; roadmap)"
"C:\Chartly2.0\tests\unit\README.md","9","- `python/`  Python unit tests (pytest; roadmap)"
"C:\Chartly2.0\tools\connector-tester\main.go","222","    // Deterministic placeholder plan: choose pagination mode based on profile ref content."
"C:\Chartly2.0\tools\connector-tester\main.go","275","    // SSRF/egress guardrails check (placeholder-level): reject obvious blocked destination markers in profile ref."
"C:\Chartly2.0\tools\migration-tool\README.md","127","### Required flags (roadmap)"
"C:\Chartly2.0\tools\profiler\main.go","105","    fs.StringVar(&cfg.CompareTo, ""compare-to"", """", ""Baseline id for regression comparison (roadmap)"")"
"C:\Chartly2.0\tools\profiler\main.go","107","    fs.StringVar(&include, ""include-metrics"", """", ""Comma-separated metric allowlist (roadmap)"")"
"C:\Chartly2.0\tools\profiler\main.go","180","// This placeholder returns stable data suitable for conformance tests."
"C:\Chartly2.0\tools\profiler\main.go","182","    // Deterministic placeholder contributors (no randomness)."
"C:\Chartly2.0\tools\profiler\main.go","226","        // Comparison is roadmap; we report transparently without pretending computation exists."
"C:\Chartly2.0\tools\profiler\main.go","227","        regression = ""roadmap"""
"C:\Chartly2.0\tools\profiler\main.go","268","            fmt.Printf(""CompareTo: %s (roadmap)\n"", out.Header.CompareTo)"
"C:\Chartly2.0\tools\profiler\validators\README.md","157","### Profiler exit code mapping (roadmap, ðŸ› )"
"C:\Chartly2.0\tools\profiler\validators\README.md","158","Validator aggregation is **roadmap**. When implemented, exit mapping MUST follow:"
"C:\Chartly2.0\tools\README.md","183","## Tool index (roadmap baseline)"
"C:\Chartly2.0\tools\schema-gen\main.py","526","        sp.add_argument(""--openapi"", default="""", help=""OpenAPI input path (JSON supported; YAML roadmap)"")"
"C:\Chartly2.0\tools\schema-gen\README.md","51","### Inputs (roadmap)"
"C:\Chartly2.0\tools\schema-gen\README.md","58","### Outputs (roadmap)"
"C:\Chartly2.0\tools\schema-gen\README.md","119","## Required flags (roadmap)"
"C:\Chartly2.0\web\src\components\connectors\ConnectorList.tsx","111","          placeholder=""search by id, name, kind"""
"C:\Chartly2.0\web\src\components\quarantine\QuarantineQueue.tsx","166","            placeholder=""search"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","211","            placeholder=""Paste report JSON here"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","266","                    placeholder=""optional"""
"C:\Chartly2.0\web\src\components\reports\ReportBuilder.tsx","275","                    placeholder=""data query identifier"""
"C:\Chartly2.0\web\src\pages\Audit.tsx","99","              placeholder=""e.g. 2026-01-01T00:00:00Z"""
"C:\Chartly2.0\web\src\pages\Connectors.tsx","45","        // These are placeholder endpoints (may not exist yet). Fail gracefully."
